,Prevalence_of_Most_Common_Pitch,Prevalence_of_Most_Common_Pitch_Class,Relative_Prevalence_of_Top_Pitches,Relative_Prevalence_of_Top_Pitch_Classes,Interval_Between_Most_Prevalent_Pitches,Interval_Between_Most_Prevalent_Pitch_Classes,Number_of_Common_Pitches,Pitch_Variety,Pitch_Class_Variety,Range,Most_Common_Pitch,Mean_Pitch,Importance_of_Bass_Register,Importance_of_Middle_Register,Importance_of_High_Register,Most_Common_Pitch_Class,Dominant_Spread,Strong_Tonal_Centres,Major_or_Minor,Glissando_Prevalence,Average_Range_of_Glissandos,Vibrato_Prevalence,Microtone_Prevalence,Most_Common_Melodic_Interval,Mean_Melodic_Interval,Number_of_Common_Melodic_Intervals,Distance_Between_Most_Prevalent_Melodic_Intervals,Prevalence_of_Most_Common_Melodic_Interval,Relative_Prevalence_of_Most_Common_Melodic_Intervals,Amount_of_Arpeggiation,Repeated_Notes,Chromatic_Motion,Stepwise_Motion,Melodic_Thirds,Melodic_Perfect_Fourths,Melodic_Tritones,Melodic_Perfect_Fifths,Melodic_Sixths,Melodic_Sevenths,Melodic_Octaves,Melodic_Large_Intervals,Minor_Major_Melodic_Third_Ratio,Melodic_Embellishments,Direction_of_Melodic_Motion,Average_Length_of_Melodic_Arcs,Average_Interval_Spanned_by_Melodic_Arcs,Melodic_Pitch_Variety,Average_Number_of_Simultaneous_Pitch_Classes,Variability_of_Number_of_Simultaneous_Pitch_Classes,Average_Number_of_Simultaneous_Pitches,Variability_of_Number_of_Simultaneous_Pitches,Most_Common_Vertical_Interval,Second_Most_Common_Vertical_Interval,Distance_Between_Two_Most_Common_Vertical_Intervals,Prevalence_of_Most_Common_Vertical_Interval,Prevalence_of_Second_Most_Common_Vertical_Interval,Prevalence_Ratio_of_Two_Most_Common_Vertical_Intervals,Vertical_Unisons,Vertical_Minor_Seconds,Vertical_Thirds,Vertical_Tritones,Vertical_Perfect_Fourths,Vertical_Perfect_Fifths,Vertical_Sixths,Vertical_Sevenths,Vertical_Octaves,Perfect_Vertical_Intervals,Vertical_Dissonance_Ratio,Vertical_Minor_Third_Prevalence,Vertical_Major_Third_Prevalence,Chord_Duration,Partial_Chords,Standard_Triads,Diminished_and_Augmented_Triads,Dominant_Seventh_Chords,Seventh_Chords,Non-Standard_Chords,Complex_Chords,Minor_Major_Triad_Ratio,Strongest_Rhythmic_Pulse,Second_Strongest_Rhythmic_Pulse,Harmonicity_of_Two_Strongest_Rhythmic_Pulses,Strength_of_Strongest_Rhythmic_Pulse,Strength_of_Second_Strongest_Rhythmic_Pulse,Strength_Ratio_of_Two_Strongest_Rhythmic_Pulses,Combined_Strength_of_Two_Strongest_Rhythmic_Pulses,Number_of_Strong_Rhythmic_Pulses,Number_of_Moderate_Rhythmic_Pulses,Number_of_Relatively_Strong_Rhythmic_Pulses,Rhythmic_Looseness,Polyrhythms,Rhythmic_Variability,Note_Density,Note_Density_Variability,Average_Note_Duration,Variability_of_Note_Durations,Maximum_Note_Duration,Minimum_Note_Duration,Amount_of_Staccato,Average_Time_Between_Attacks,Variability_of_Time_Between_Attacks,Average_Time_Between_Attacks_for_Each_Voice,Average_Variability_of_Time_Between_Attacks_for_Each_Voice,Complete_Rests,Longest_Complete_Rest,Average_Rest_Fraction_Per_Voice,Variability_Across_Voices_of_Total_Rests_Per_Voice,Initial_Tempo,Compound_Or_Simple_Meter,Triple_Meter,Quintuple_Meter,Metrical_Diversity,Duration,Variability_of_Note_Prevalence_of_Pitched_Instruments,Variability_of_Note_Prevalence_of_Unpitched_Instruments,Number_of_Pitched_Instruments,Number_of_Unpitched_Instruments,Percussion_Instrument_Prevalence,String_Keyboard_Prevalence,Acoustic_Guitar_Prevalence,Electric_Guitar_Prevalence,Violin_Prevalence,Saxophone_Prevalence,Brass_Prevalence,Woodwinds_Prevalence,Orchestral_Strings_Prevalence,String_Ensemble_Prevalence,Electric_Instrument_Prevalence,Maximum_Number_of_Independent_Voices,Average_Number_of_Independent_Voices,Variability_of_Number_of_Independent_Voices,Voice_Equality_-_Number_of_Notes,Voice_Equality_-_Note_Duration,Voice_Equality_-_Dynamics,Voice_Equality_-_Melodic_Leaps,Voice_Equality_-_Range,Importance_of_Loudest_Voice,Relative_Range_of_Loudest_Voice,Relative_Range_Isolation_of_Loudest_Voice,Relative_Range_of_Highest_Line,Relative_Note_Density_of_Highest_Line,Relative_Note_Durations_of_Lowest_Line,Relative_Size_of_Melodic_Intervals_in_Lowest_Line,Voice_Overlap,Similar_Motion,Voice_Separation,Variability_of_Voice_Separation,Dynamic_Range,Variation_of_Dynamics,Variation_of_Dynamics_In_Each_Voice,Average_Note_to_Note_Change_in_Dynamics
"C:\Git\jSymbolic2\manual\api_files\.\MySymbolicMusicFiles\Bach J S - Cello Suite No 1 Prelude.mid",0.1707, 0.1951, 0.7143, 0.7656, 7.0, 7.0, 3.0, 28.0, 12.0, 31.0, 57.0, 53.0, 0.5168, 0.4832, 0.0, 9.0, 7.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 4.321, 3.0, 1.0, 0.2844, 0.4892, 0.3287, 0.02599, 0.1391, 0.4235, 0.1774, 0.05963, 0.07645, 0.05046, 0.09633, 0.05505, 0.009174, 0.02599, 1.974, 0.0, 0.4835, 1.561, 6.887, 4.663, 1.018, 0.1324, 1.03, 0.2295, 8.0, 0.0, 8.0, 0.4286, 0.2857, 0.6667, 0.0, 0.0, 0.2857, 0.0, 0.0, 0.0, 0.4286, 0.0, 0.2857, 0.2857, 0.0, 0.0, 0.0119, 0.1983, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 80.0, 160.0, 2.0, 0.1432, 0.1432, 1.0, 0.2864, 7.0, 7.0, 7.0, 0.0, 0.4286, 0.02922, 5.206, 1.786, 0.1978, 0.1402, 2.25, 0.1875, 0.0, 0.1884, 0.0274, 0.1884, 0.0274, 0.0, 126.0, 0.0, 0.0, 80.0, 0.0, 0.0, 0.0, 0.0, 126.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.08079, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
"C:\Git\jSymbolic2\manual\api_files\.\MySymbolicMusicFiles\Buxtehude - Herr Jesu Christ, ich weiss gar wohl.mid",0.08408, 0.1521, 0.9362, 1.0, 2.0, 2.0, 0.0, 35.0, 11.0, 41.0, 64.0, 61.41, 0.1807, 0.7639, 0.05546, 2.0, 6.0, 3.0, 0.0, 0.007156, 0.0, 0.0, 0.007156, 2.0, 2.049, 2.0, 1.0, 0.4216, 0.7863, 0.191, 0.08468, 0.3315, 0.7532, 0.07027, 0.04505, 0.001802, 0.02162, 0.009009, 0.0, 0.01441, 0.0, 1.786, 0.0, 0.4626, 2.032, 4.496, 4.909, 2.893, 0.7135, 3.426, 0.7905, 3.0, 7.0, 4.0, 0.1816, 0.1519, 0.8364, 6.737E-4, 0.004582, 0.3243, 0.03542, 0.105, 0.1519, 0.171, 0.03462, 0.1209, 0.3784, 0.1445, 0.6051, 0.4824, 0.4044, 0.1816, 0.4334, 0.06953, 0.0478, 0.07394, 0.311, 0.0, 0.8966, 68.0, 46.0, 1.478, 0.3633, 0.2542, 1.429, 0.6174, 3.0, 5.0, 3.0, 0.0, 0.6667, 0.04024, 3.803, 3.313, 0.8992, 1.007, 10.54, 0.1071, 0.0, 0.4275, 0.2021, 0.9808, 1.182, 0.01166, 147.7, 0.1537, 11.4, 70.0, 0.0, 0.0, 0.0, 0.0, 147.7, 106.2, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2236, 4.0, 3.422, 0.7756, 18.1, 11.4, 0.0, 0.5, 6.055, 0.0, 0.5854, 0.776, 0.3171, 0.5081, 1.136, 0.0, 0.7156, 0.4597, 7.0, 1.732, 0.0, 0.0, 0.0, 0.0
